filename,size_bytes,year,court,pillar_E,pillar_S,pillar_G,pillar_Sus,noise_hits,is_greenwash,is_sustainability,inferred_pillar
06-UtahvSu.md,28757,2026,5th Cir,1,1,2,0,0,0,0,G
060-GluckvHeclaMiningCo.md,44105,2024,SDNY,0,0,2,0,0,0,0,G
060-MackvNicholson.md,28476,2026,Other,0,0,0,0,0,0,0,Non-ESG
060-RetractableTechnologiesIncvUnitedStates.md,40369,2026,Other,0,1,0,0,0,0,0,S
061-ChavezvKincaid.md,36355,2026,Other,1,0,0,0,2,0,0,E
061-RobecoCapitalGrowthFundsSICAVRobecoGlobalConsumerTrendsvPeloto.md,58971,2026,SDNY,0,1,2,0,0,0,0,G
061-UnitedStatesexrelMeiLingvCityofLosAngeles.md,169497,2018,CD Cal,3,1,0,0,0,0,0,E
062-KatziorisvMartinOilMarketingLtd.md,12382,2026,Other,0,0,0,0,0,0,0,Non-ESG
062-ShieldsvFederationInternationaledeNatation.md,119403,2019,ND Cal,0,0,1,0,2,0,0,G
063-FintechLeadersFundLLCvCogut.md,35030,2025,SDNY,1,0,0,0,0,0,0,E
063-HayesvBrown.md,34547,2026,Other,0,0,0,0,0,0,0,Non-ESG
064-CollinsvilleCommunityUnitSchoolDistNo10vRegionalBdofSchoolTrus.md,67268,2026,Other,1,1,0,0,0,0,0,E
065-WellsFargoBankNationalAssociationvTransamericaLifeInsuranceCompan.md,65442,2019,CD Cal,0,0,0,0,1,0,0,Non-ESG
